PCT,Justin,Queta,Justin %,Queta %
2001,38,62,0.38,0.62
2002,72,96,0.43,0.57
2003,140,121,0.54,0.46
2004,157,156,0.50,0.50
2005,102,96,0.52,0.48
2006,1,2,0.33,0.67
2007,115,106,0.52,0.48
2008,90,58,0.61,0.39
2009,124,116,0.52,0.48
2010,123,84,0.59,0.41
2011,138,117,0.54,0.46
2012,122,69,0.64,0.36
2013,164,88,0.65,0.35
2014,112,87,0.56,0.44
2015,111,81,0.58,0.42
2016,78,40,0.66,0.34
2017,57,40,0.59,0.41
2018,128,93,0.58,0.42
2019,130,62,0.68,0.32
2020,243,117,0.68,0.33
2021,196,123,0.61,0.39
2022,118,68,0.63,0.37
2023,288,200,0.59,0.41
2024,184,93,0.66,0.34
2025,280,221,0.56,0.44
2026,313,160,0.66,0.34
2027,213,126,0.63,0.37
2028,359,209,0.63,0.37
2029,81,63,0.56,0.44
2030,109,87,0.56,0.44
2031,88,86,0.51,0.49
2032,39,47,0.45,0.55
2033,45,36,0.56,0.44
2034,39,50,0.44,0.56
2035,247,145,0.63,0.37
2036,331,177,0.65,0.35
2037,149,93,0.62,0.38
2038,155,140,0.53,0.47
2039,184,142,0.56,0.44
2040,324,126,0.72,0.28
2041,335,146,0.70,0.30
2042,168,70,0.71,0.29
2043,136,114,0.54,0.46
2044,131,86,0.60,0.40
2045,402,229,0.64,0.36
2046,366,223,0.62,0.38
2047,266,136,0.66,0.34
2048,148,88,0.63,0.37
2049,262,198,0.57,0.43
2050,239,129,0.65,0.35
2051,62,41,0.60,0.40
2052,79,68,0.54,0.46
2053,98,97,0.50,0.50
2054,250,245,0.51,0.49
2055,226,243,0.48,0.52
2056,152,106,0.59,0.41
2057,183,137,0.57,0.43
2058,193,112,0.63,0.37
2059,219,148,0.60,0.40
2060,169,105,0.62,0.38
2061,111,47,0.70,0.30
2062,120,97,0.55,0.45
2063,131,104,0.56,0.44
2064,246,141,0.64,0.36
2065,291,255,0.53,0.47
2066,413,254,0.62,0.38
2067,43,30,0.59,0.41
2068,382,260,0.60,0.40
2069,269,183,0.60,0.40
2070,144,151,0.49,0.51
2071,38,54,0.41,0.59
2072,252,221,0.53,0.47
2073,92,86,0.52,0.48
2074,68,38,0.64,0.36
2075,70,60,0.54,0.46
2076,213,125,0.63,0.37
2077,246,134,0.65,0.35
2078,175,147,0.54,0.46
2079,34,42,0.45,0.55
2080,108,93,0.54,0.46
2081,87,48,0.64,0.36
2082,152,84,0.64,0.36
2083,127,84,0.60,0.40
2084,352,168,0.68,0.32
2085,149,89,0.63,0.37
2086,338,206,0.62,0.38
2087,210,97,0.68,0.32
2088,326,236,0.58,0.42
2089,33,30,0.52,0.48
2090,148,120,0.55,0.45
2091,220,187,0.54,0.46
2092,39,24,0.62,0.38
2093,79,78,0.50,0.50
2094,29,11,0.73,0.28
2095,169,117,0.59,0.41
2096,166,126,0.57,0.43
2097,201,167,0.55,0.45
2098,96,79,0.55,0.45
2099,150,88,0.63,0.37
2100,109,80,0.58,0.42
2101,105,75,0.58,0.42
2102,229,198,0.54,0.46
2103,20,15,0.57,0.43
2104,25,26,0.49,0.51
2105,36,46,0.44,0.56
2106,37,31,0.54,0.46
2107,188,154,0.55,0.45
2108,135,57,0.70,0.30
2109,0,0,0.00,0.00
2110,118,73,0.62,0.38
2111,99,66,0.60,0.40
2112,196,109,0.64,0.36
2113,4,7,0.36,0.64
2114,182,122,0.60,0.40
2115,341,272,0.56,0.44
2116,0,0,0.00,0.00
2117,50,54,0.48,0.52
2118,5,5,0.50,0.50
2119,28,23,0.55,0.45
2120,120,91,0.57,0.43
2121,37,30,0.55,0.45
2122,105,99,0.51,0.49
2123,149,103,0.59,0.41
2124,93,47,0.66,0.34
2125,188,148,0.56,0.44
2126,119,62,0.66,0.34
2127,248,155,0.62,0.38
2128,162,85,0.66,0.34
2129,0,0,0.00,0.00
2130,233,115,0.67,0.33
2131,43,21,0.67,0.33
2132,0,0,0.00,0.00
2133,38,16,0.70,0.30
2134,77,62,0.55,0.45
2135,56,39,0.59,0.41
2136,307,241,0.56,0.44
2137,125,97,0.56,0.44
2138,73,82,0.47,0.53
2139,176,100,0.64,0.36
2140,137,85,0.62,0.38
2141,141,97,0.59,0.41
2142,41,36,0.53,0.47
2143,262,88,0.75,0.25
2144,182,174,0.51,0.49
2145,25,25,0.50,0.50
2146,9,6,0.60,0.40
2147,26,21,0.55,0.45
2148,275,246,0.53,0.47
2149,138,121,0.53,0.47
2150,0,0,0.00,0.00
2151,1,0,1.00,0.00
2152,45,39,0.54,0.46
2153,23,23,0.50,0.50
2154,254,183,0.58,0.42
2155,0,0,0.00,0.00
2156,93,92,0.50,0.50
2157,1,0,1.00,0.00
2158,0,0,0.00,0.00
2159,13,17,0.43,0.57
2160,0,2,0.00,1.00
